extension,spdx_license,year,count_files
.tiff,,2008,1962.0
.json,,2008,471.0
.tif,,2008,393.0
.csv,,2008,298.0
.wav,,2008,220.0
.tiff,NOASSERTION,2008,206.0
.pdb,,2008,199.0
.tiff,MIT,2008,132.0
.json,NOASSERTION,2008,131.0
.vcf,LGPL-2.1,2008,118.0
.pdb,NOASSERTION,2008,95.0
.json,GPL-3.0,2008,90.0
.csv,NOASSERTION,2008,62.0
.tiff,GPL-2.0,2008,49.0
.json,MIT,2008,46.0
.vcf,NOASSERTION,2008,37.0
.wav,NOASSERTION,2008,28.0
.xls,,2008,28.0
.kml,,2008,21.0
.vcf,GPL-2.0,2008,20.0
.csv,MIT,2008,19.0
.dbf,,2008,16.0
.tsv,,2008,15.0
.xls,MIT,2008,14.0
.tiff,Apache-2.0,2008,14.0
.shp,,2008,13.0
.json,BSD-3-Clause,2008,13.0
.shx,,2008,13.0
.vcf,MIT,2008,10.0
.csv,BSD-3-Clause,2008,9.0
.xls,GPL-3.0,2008,6.0
.wav,GPL-2.0,2008,6.0
.shx,BSD-3-Clause,2008,5.0
.tif,GPL-2.0,2008,5.0
.dbf,BSD-3-Clause,2008,5.0
.shp,BSD-3-Clause,2008,5.0
.tif,BSD-3-Clause,2008,4.0
.json,GPL-2.0,2008,4.0
.json,AGPL-3.0,2008,4.0
.vcf,,2008,3.0
.wav,GPL-3.0,2008,3.0
.xls,NOASSERTION,2008,2.0
.kml,BSD-3-Clause,2008,2.0
.csv,GPL-2.0,2008,1.0
.tsv,MIT,2008,1.0
.tif,NOASSERTION,2008,1.0
.tiff,BSD-3-Clause,2008,1.0
.xlsx,NOASSERTION,2008,1.0
.dcm,,2008,1.0
.tif,LGPL-2.1,2008,1.0
.wav,MIT,2008,1.0
.kml,MIT,2009,5914.0
.tiff,,2009,5865.0
.json,,2009,4307.0
.pdb,,2009,2319.0
.wav,,2009,2178.0
.csv,,2009,1331.0
.xls,,2009,1007.0
.tif,,2009,981.0
.tiff,NOASSERTION,2009,789.0
.wav,NOASSERTION,2009,688.0
.dbf,,2009,635.0
.json,NOASSERTION,2009,396.0
.json,GPL-3.0,2009,279.0
.xls,MIT,2009,232.0
.pdb,BSD-3-Clause,2009,222.0
.tiff,GPL-2.0,2009,191.0
.tif,NOASSERTION,2009,187.0
.pdb,GPL-2.0,2009,171.0
.pdb,NOASSERTION,2009,156.0
.tiff,GPL-3.0,2009,155.0
.csv,NOASSERTION,2009,140.0
.kml,,2009,130.0
.shp,,2009,117.0
.shx,,2009,115.0
.wav,MIT,2009,114.0
.xlsx,,2009,112.0
.pdb,MIT,2009,109.0
.wav,GPL-2.0,2009,105.0
.json,MIT,2009,104.0
.tif,BSD-3-Clause,2009,92.0
.fasta,,2009,77.0
.xls,LGPL-3.0,2009,77.0
.shp,NOASSERTION,2009,73.0
.dbf,NOASSERTION,2009,73.0
.shx,NOASSERTION,2009,73.0
.fasta,NOASSERTION,2009,64.0
.tsv,,2009,62.0
.tiff,MIT,2009,62.0
.csv,GPL-2.0,2009,58.0
.tiff,BSD-3-Clause,2009,57.0
.json,BSD-3-Clause,2009,54.0
.json,Apache-2.0,2009,53.0
.csv,OSL-3.0,2009,53.0
.tif,GPL-2.0,2009,50.0
.pdb,LGPL-2.1,2009,48.0
.csv,MIT,2009,46.0
.tif,MIT,2009,41.0
.json,LGPL-3.0,2009,27.0
.wav,GPL-3.0,2009,25.0
.csv,GPL-3.0,2009,24.0
.vcf,NOASSERTION,2009,21.0
.fastq,NOASSERTION,2009,21.0
.wav,LGPL-2.1,2009,19.0
.vcf,,2009,18.0
.tsv,GPL-3.0,2009,17.0
.xls,LGPL-2.1,2009,17.0
.tiff,Apache-2.0,2009,17.0
.csv,AGPL-3.0,2009,16.0
.xlsx,LGPL-3.0,2009,16.0
.tiff,LGPL-2.1,2009,14.0
.dcm,,2009,12.0
.shx,BSD-3-Clause,2009,10.0
.shp,BSD-3-Clause,2009,10.0
.dbf,BSD-3-Clause,2009,10.0
.tsv,MIT,2009,9.0
.pdb,GPL-3.0,2009,7.0
.tiff,BSD-2-Clause,2009,7.0
.kml,NOASSERTION,2009,7.0
.csv,BSD-3-Clause,2009,6.0
.xls,NOASSERTION,2009,6.0
.vcf,AGPL-3.0,2009,6.0
.xls,GPL-3.0,2009,6.0
.json,GPL-2.0,2009,5.0
.wav,BSD-3-Clause,2009,5.0
.shx,MIT,2009,5.0
.shp,MIT,2009,5.0
.json,LGPL-2.1,2009,5.0
.dbf,MIT,2009,5.0
.json,AFL-3.0,2009,4.0
.kml,BSD-3-Clause,2009,4.0
.csv,LGPL-3.0,2009,4.0
.kml,LGPL-3.0,2009,3.0
.shx,LGPL-3.0,2009,3.0
.shp,LGPL-3.0,2009,3.0
.dbf,LGPL-3.0,2009,2.0
.json,Artistic-2.0,2009,2.0
.pdb,AGPL-3.0,2009,2.0
.tif,GPL-3.0,2009,2.0
.csv,BSL-1.0,2009,2.0
.pdb,Apache-2.0,2009,2.0
.fasta,GPL-3.0,2009,2.0
.kml,GPL-2.0,2009,2.0
.pdb,MS-PL,2009,2.0
.xls,GPL-2.0,2009,2.0
.kml,GPL-3.0,2009,2.0
.xlsx,GPL-3.0,2009,1.0
.wav,Apache-2.0,2009,1.0
.tif,Apache-2.0,2009,1.0
.tif,EPL-1.0,2009,1.0
.tif,LGPL-2.1,2009,1.0
.kml,Apache-2.0,2009,1.0
.xls,Zlib,2009,1.0
.xls,BSL-1.0,2009,1.0
.vcf,GPL-2.0,2009,1.0
.xlsx,GPL-2.0,2009,1.0
.csv,Apache-2.0,2009,1.0
.tsv,NOASSERTION,2009,1.0
.tiff,EPL-1.0,2009,1.0
.csv,,2010,37797.0
.json,,2010,8782.0
.tiff,,2010,8529.0
.wav,,2010,6277.0
.pdb,,2010,4994.0
.tif,,2010,3258.0
.json,NOASSERTION,2010,2989.0
.xls,,2010,1789.0
.wav,NOASSERTION,2010,1556.0
.tiff,NOASSERTION,2010,1011.0
.dcm,NOASSERTION,2010,561.0
.tif,NOASSERTION,2010,522.0
.csv,NOASSERTION,2010,517.0
.dbf,,2010,376.0
.json,BSD-3-Clause,2010,375.0
.shx,,2010,364.0
.shp,,2010,363.0
.kml,,2010,301.0
.tiff,MIT,2010,287.0
.pdb,NOASSERTION,2010,285.0
.csv,MIT,2010,275.0
.tsv,,2010,254.0
.tiff,Apache-2.0,2010,251.0
.tiff,BSD-3-Clause,2010,238.0
.xlsx,,2010,234.0
.dcm,,2010,217.0
.wav,GPL-2.0,2010,211.0
.json,MIT,2010,204.0
.tiff,GPL-3.0,2010,190.0
.wav,GPL-3.0,2010,188.0
.pdb,MIT,2010,156.0
.tiff,GPL-2.0,2010,155.0
.csv,BSD-3-Clause,2010,152.0
.vcf,NOASSERTION,2010,122.0
