source,vertical,datasets,year,observed
data.humdata.org,nonprofit,20400,2023,2/11/23
data.world.com,private,128499,2023,2/11/23
kaggle.com,private,197192,2023,2/11/23
zenodo.org,nonprofit,178363,2023,2/11/23
aws.amazon.com/data-exchange,private,3953,2023,2/11/23
worldpop.org/datacatalog,nonprofit,44745,2023,2/11/23
datadiscoverystudio.org/geoportal,nonprofit,1669856,2023,2/11/23
figshare.com/search,private,1675288,2023,2/11/23
research.google.com/youtube8m/download.html,private,1,2023,2/11/23
data.opendatasoft.com,private,30037,2023,2/11/23
datacatalog.worldbank.org,nonprofit,6079,2023,2/11/23
catalog.data.gov/dataset,government,245180,2023,2/11/23
osti.gov,government,169317,2023,2/11/23
data.europa.eu/catalogue-statistics,government,1311527,2023,2/11/23
odaa.dk/,government,754,2023,2/11/23
dggs.alaska.gov/pubs/series/dggs/digital-data-series,government,19,2023,2/11/23
open.alberta.ca/opendata,government,2887,2023,2/11/23
cabq.gov/abq-data/,government,50,2023,2/11/23
datacatalogs.org/catalog/allerdale,government,3,2023,2/11/23
data.angers.fr/,government,149,2023,2/11/23
a2gov.org/services/data/Pages/default.aspx,government,47,2023,2/11/23
opendata.aragon.es/,government,2681,2023,2/11/23
datos.gob.ar,government,1154,2023,2/11/23
gis.arkansas.gov/,government,438,2023,2/11/23
data.ashevillenc.gov/,government,445,2023,2/11/23
asturias.es/portal/site/webasturias/menuitem.7b2ff7592927f53571a70084ec12b2a0/?vgnextoid=2cab7cd61f918510VgnVCM100000ce212b0aRCRD&i18n.http.lang=es,government,1795,2023,2/11/23
gis.atlantaga.gov/,government,31,2023,2/11/23
data.austintexas.gov/,government,4538,2023,2/11/23
data.gov.au/,government,105515,2023,2/11/23
data.act.gov.au/,government,1184,2023,2/11/23
data.gv.at/,government,42735,2023,2/11/23
badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=opendata,government,72,2023,2/11/23
datos.bahiablanca.gob.ar/home,government,243,2023,2/11/23
data.baltimorecity.gov/,government,686,2023,2/11/23
opendata-ajuntament.barcelona.cat/en/,government,563,2023,2/11/23
opendata.comune.bari.it/,government,113,2023,2/11/23
data.gov.be/,government,14872,2023,2/11/23
